,name,english_name,directors,writer,actors,rate,style1,style2,style3,country,language,date,duration,introduction,dataID,url,pic
1470,大赢家,,于淼,李潇,大鹏,6.7,喜剧,,,中国大陆,汉语普通话,2020,97.0,在银行同事们眼里，严谨（大鹏饰）是个十足的怪咖，凡事认真恪守原则，总是得罪行长，以至于连累大家奖金泡汤。一次偶然的机会，银行接到公安局举办的抢劫演习的任务，大家都想糊弄过去早点回家，严瑾却认认真真当起了“劫匪”……,34670218,https://movie.douban.com/subject/34670218/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2591946932.jpg
1829,飞驰人生,,韩寒,韩寒,沈腾,6.8,喜剧,,,中国大陆,汉语普通话 ,2019,98.0,曾经叱咤风云的拉力赛车手张驰（沈腾饰），五年前因私自赛车而被禁赛。从天堂跌落谷底，张驰饱尝生活的艰辛。他忍辱负重，洗心革面，终于争取到了解禁的判决。在此之后，他重新找到亲如兄弟的领航员孙宇强（尹正饰），决心共同冲击本年度的巴音布鲁克拉力赛。然而在此之前，张驰必须重考驾照，改装赛车，拉到赞助。每一步都充满艰难，他忍受着旁人的奚落嘲讽，忍受着现实的冰冷残酷，无论如何都不改变前进的目标。当他好不容易走到了赛场，还将面对禁赛这几年崛起的新秀林臻东（黄景瑜饰）的挑战。  张驰的时代是否就此远去……,30163509,https://movie.douban.com/subject/30163509/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg
1835,温暖的抱抱,,常远,常远,常远,5.2,喜剧,,,中国大陆,汉语普通话,2020,112.0,鲍抱（常远饰）是一名普通的钢琴教师，许是童年的影响，导致现在的他有着十分偏执的洁癖，他的生活仿佛被卡尺精确测量规定过一样，一丝不苟，毫厘不差，却令他倍感窒息，以至于试图结束自己的生命。而就在这个紧要关头，开朗乐观的宋温暖（李沁饰）闯入了鲍抱的人生。温暖灵动可爱，是一个颇有才华的音乐创作人。但是此前曾被恶德男友（乔杉饰）利用压榨，几乎沦为了创作机器。就这样，两个性格和背景完全迥异的年轻人，意外走到了一起，他们多姿多彩而又令人捧腹的故事由此展开……  影片根据韩国电影《计划男》改编。,34869362,https://movie.douban.com/subject/34869362/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2618446242.jpg
1848,恶棍天使,,俞白眉,俞白眉,邓超,4.4,喜剧,,,中国大陆,汉语普通话,2015,124.0,查小刀（孙俪饰）智商极高，但性格软弱怕事，莫非里（邓超饰）不过是一介混混，但个性嚣张跋扈，一场车祸让两人相遇，莫非里毫无意外的狠狠在查小刀的身上诈了一笔。亲情淡漠，工作受挫，又遭恶人欺压，查小刀心灰意冷，无意之中得知了有一位名为折耳根（梁超饰）的神医专治各种疑难杂症，于是便起了向他寻求良方的念头。  让查小刀没有想到的是，莫非里居然也是折耳根的病人，常年的失眠困扰着他令他痛不欲生。折耳根告诉两人，他们其实正是彼此的“良药”，为了“治病”，查小刀和莫非里结为搭档共同进退，惹出了无数的麻烦和笑话，与此同时，亦结下了深厚的感情。,26290365,https://movie.douban.com/subject/26290365/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2298326979.jpg
2344,囧妈,,徐峥,何可可,徐峥,5.9,喜剧,,,中国大陆,汉语普通话 ,2020,126.0,虽然有着诸多不舍，但是强势的老板徐伊万（徐峥饰）还是和合作伙伴兼妻子张璐（袁泉饰）结束了失败的婚姻。由于某种心理作祟，他试图阻挠前妻在海外重新创业。为了第一时间赶去美国，他回到母亲卢小花（黄梅莹饰）的住处取护照，结果阴差阳错和母亲坐上了开往俄罗斯的K3次列车。如同身边的老年人一样，卢小花对儿子有着无休止的过度关爱与碎碎念。漫长的旅途中，伊万饱受折磨，他一边遥控表弟郭贴（郭京飞饰）破坏张璐的生意，一边和母亲展开斗智斗勇的拉锯战。在这一过程中，母子二人冲突不断。伊万渐渐了解到母亲的爱情，同时他也开始反省自己的人生。  一路向北，久违的《红莓花儿开》期待再度唱响……,30306570,https://movie.douban.com/subject/30306570/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581835383.jpg
2794,李茶的姑妈,,吴昱翰,钱晨光,黄才伦,4.6,喜剧,,,中国大陆,汉语普通话,2018,113.0,貌不惊人的李茶（宋阳饰）希望和土豪之女结为夫妇，他从未谋过面的姑妈（卢靖姗饰）成为他婚姻的最大支柱。土豪的公司经营陷入困境，因此急于攀附李茶那位有钱的姑妈。土豪大女婿梁杰瑞（艾伦饰）也是个见钱眼开的家伙，得知自己老爹破产时，他甚至建议老爹去向李茶的姑妈求婚。一群厚颜无耻之人翘首以盼，谁曾想姑妈却迟迟未来。众人愁眉苦脸，却独独乐坏了梁杰瑞公司的小人物黄沧海（黄才伦饰）。沧海跑进原本为姑妈准备的别墅好好享受一番，结果阴差阳错被众人当做姑妈捧上云霄，得知内情的李茶和梁杰瑞干脆将计就计。  另一方面，姑妈不顾随从（王成思饰）的阻拦，隐藏身份偷偷潜入海岛，更将这场闹剧引向了不可预测的方向……,27092785,https://movie.douban.com/subject/27092785/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2533384240.jpg
2900,爱情来了,,陈玉勋,陈玉勋,坣娜,8.0,喜剧,,,中国台湾,汉语普通话,1998,112.0,电影分为三个短片。  阿盛在面包房工作，业余爱好是唱歌。某日，阿盛的小学同学丽华突然来到了店里买面包，然而丽华却并没有认出阿盛。阿盛爱上了丽华，却没有勇气向她表白心迹，于是他决定参加一场歌唱比赛，以彰显自己的真心。  某日，女孩捡到了一支手机，她联系上了失主，没想到两人却聊得特别投机。终于，在失主的要求下女孩决定同他见面，那隐藏在手机背后的，究竟会是一个怎样的人呢？  阿松是一名推销员，感情生活一片空白，事业亦死气沉沉没有希望。某日，他来到丽华的理发店，却目睹了一场捉奸的闹剧，丽华因为误会被卷入其中。阿松出手相救，两人逃到了天台之上。,1304681,https://movie.douban.com/subject/1304681/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2593472540.jpg
2959,硅谷,第五季 Silicon Valley Season 5,迈克·乔吉,罗恩·韦纳,托马斯·米德蒂奇,9.2,喜剧,,,美国,英语,,,据外媒报道，尽管当前《硅谷》还在播放第四季的内容，但HBO已于今日宣布同MikeJudge和AlecBerg续签了这部讲述科技界创业故事剧集的第五季。  不过据Vulture报道，当《硅谷》新一季归来的时候，其中一名主演（T.J.Miller的ErlichBachman）将离队。,27055699,https://movie.douban.com/subject/27055699/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518439812.jpg
2999,二哥来了怎么办,,郑芬芬,郑芬芬,胡先煦,4.2,喜剧,,,中国大陆,汉语普通话,2021,105.0,故事讲述了关于重组家庭里吵闹而又温馨的那些事。杨听风（胡先煦饰）杨听雨（邓恩熙饰）是一对兄妹，自从杨妈妈与李叔叔再婚后，五花八门的尴尬大戏便在重组家庭中一直上演。这一天，不速之客李圣（郑伟饰）突然出现，平静的生活就此乱套……天降2哥？父母偏心？亲哥也倒戈？这一连串的巨变令杨听雨不堪忍受，只想大喊一句：2哥来了怎么办！,30330751,https://movie.douban.com/subject/30330751/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2664990775.jpg
3068,太空训练生,Space Cadet,丽兹·加西亚,丽兹·加西亚,艾玛·罗伯茨,5.2,喜剧,,,美国,英语,2024,110.0,"FloridapartygirlRex(Roberts)turnsouttobetheonlyhopefortheNASAspaceprogramafteraflukeputsherintrainingwithothercandidateswhomayhavebetterresumes,butdon'thavehersmarts,heartandmoxie.",36129076,https://movie.douban.com/subject/36129076/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2909426364.jpg
3095,太空部队,第一季 Space Force Season 1,保罗·金,史蒂夫·卡瑞尔,史蒂夫·卡瑞尔,7.8,喜剧,,,美国,英语,,,四星上将马克·R·内尔德（史蒂夫·卡瑞尔饰）是一名功勋卓著的飞行员，梦想着成为空军部队司令。然而，当发现自己被任命为美军新成立的第六分队（太空部队）的指挥官时，他陷入了两难的境地。虽满腹怀疑却想放手一搏，马克举家迁往至科罗拉多州的一个偏远基地，在那里，他和一群出色的科学家和“宇航员”（再次）被白宫派往月球，以实现美国在太空的统治地位。《太空部队》由卡瑞尔和克雷格·丹尼尔斯（《办公室》）担任联合创剧人，是一部全新的职场喜剧，剧中情节风险极高，野心更甚。约翰·马尔科维奇、戴安娜·西尔弗斯、托尼·纽森、本·施瓦茨以及丽莎·库卓、欧阳万成、诺亚·艾默里奇、阿列克谢·沃罗别夫和唐·雷克共同主演了该剧。3Arts制作公司的霍华德·克莱因（《办公室》）担任监制，丹尼尔斯担任剧集主管。,30434770,https://movie.douban.com/subject/30434770/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2601412681.jpg
3259,单亲辣妈,第一季 SMILF Season 1,弗兰西斯·肖,弗兰西斯·肖,弗兰西斯·肖,7.2,喜剧,,,美国,英语,,,Showtime预订根据FrankieShaw的15年短片所开发的10集喜剧《单亲辣妈SMILF》，FrankieShaw在这部半自传喜剧中负责编剧﹑导演﹑制片及演出，LeeEisenberg﹑GeneStupnitsky及MichaelLondon亦为执行制片。这部喜剧背景在波士顿，讲述一个20多岁的单亲母亲Brigette（FrankieShaw饰），在她的身份下对关系﹑性爱﹑职业各种不同的碰撞。  P.S：美剧不时有的MILF是指MomI'dliketof***/辣妈，而SMILF就是衍生词，即SinglemomI'dliketof***。,26868395,https://movie.douban.com/subject/26868395/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2500658724.jpg
3407,风犬少年的天空,,张一白,里则林,彭昱畅,8.0,喜剧,,,中国大陆,汉语普通话 ,,,千禧年间，故事发生在一所位于重庆市中心的高中。在清新单纯的校园里与周遭林立的高楼下，两种截然不同的青春气息交汇于此，他们从相互对立到彼此融合，一起经历又燃又二又暖的少年故事。这里既有少年面对成人世界的第一声呐喊，也是互相扶持共同成长的温暖旅途。在这一路上几位出身不同、性格各异的少年们，将直面纯真校园与社会现实的冲突，在亲情、友情、懵懂恋情的交织中向阳奔跑，酷得像风野得像狗，从而找到一片属于自己的天空。,30413128,https://movie.douban.com/subject/30413128/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2620379341.jpg
3497,黄金时代,L'âge d'or,路易斯·布努埃尔,路易斯·布努埃尔,加斯东·莫多,7.5,喜剧,,,法国,法语,,60.0,影片开始是纪录片风格的打斗场面：一群蝎子跟老鼠对抗；接着呈现出游击队跟主教军的斗争；贯串全片多是违反一般常规的视觉形象，而自由的程度也大得惊人：发怒的蝎子、维苏威火山喷出的熔岩和带有纪录性的场面；极端超现实场面、标新立异的场面交替出现：如一头母牛躺在一个年轻女孩的床上；基督变成了性虐待狂患者；作父亲的毫无感觉地开枪射杀自己的小孩，当仆人房舍起火，他却置之不理，甚至一辆牛车穿入房间，他也视若无睹；爱人们朝夕渴望相聚，但见面后却感到无所适从，只有进行集体损毁，将犁耙、长颈鹿、圣诞树焚烧；两个主教从楼上被仍了下来。更有甚者，一对爱人的眼睛被挤出，手被咬掉，在一条狭窄街道的碎石上翻滚着，同时可以听见艾吕声音唱到“爱情，爱情，爱情呀！”一种近乎神秘的爱情概念作为一种可以改变一切的，可以为人们赎罪的东西……,1293667,https://movie.douban.com/subject/1293667/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2383420318.jpg
3522,莎屎比亚,Shakespeare's Sh*tstorm,洛伊德·考夫曼,Brandon Bassham,洛伊德·考夫曼,,喜剧,,,美国,英语,,94.0,特罗马版莎士比亚作品《暴风雨》翻拍。,30418894,https://movie.douban.com/subject/30418894/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2613759492.jpg
3547,情圣,,宋晓飞,李潇,肖央,6.0,喜剧,,,中国大陆,汉语普通话,2016,116.0,肖瀚（肖央饰）和妻子沈红（代乐乐饰）结婚多年，感情早已经归于平淡，在两人漫长的婚姻生活中，肖瀚一直保持着对妻子的忠诚，直到某日，一位名叫yoyo（李成敏饰）的美丽女子出现在了肖瀚的身边，令肖瀚再也无法忽略内心里的悸动，他决定正视自己的感情，不再受道德和舆论的约束，大胆追求自己真正渴望的爱情。  为了成功抱得美人归，肖瀚找到了好友艾木（艾伦饰）、汤怀（乔杉饰）和刘磊（小沈阳饰）等人，几人策划了一个看似万无一失的计谋，胜利的果实势在必得。哪知道在执行计划的过程中，肖瀚的老板玛丽莲（闫妮饰）几度搅局，闹出了一堆的笑料，不仅如此，敏感的沈红亦预感到丈夫正在“搞事情”。,26879060,https://movie.douban.com/subject/26879060/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2409022364.jpg
3884,夫妻市长,La zizanie,克洛德·齐迪,克洛德·齐迪,路易·德·菲奈斯,7.9,喜剧,,,法国,法语,1978,97.0,奥吉姆（路易·德·菲耐斯LouisdeFunès饰）在身为市长的同时，还是一位发明家，他发明的一款除尘器大获成功，奥吉姆因此而获得了一份数量为三千台的订单。这份订单在带给奥吉姆成就感的同时也带来了麻烦，短短三个月内，凭他一人之力想要制造三千台机器谈何容易。  为了按时完成订单，奥吉姆不仅将家中大部分房间改造成为了工厂，还雇佣了几十名工人，没日没夜的加班加点，一时间，机器的轰鸣飞扬的尘土弥漫在家里的每个角落。奥吉姆的举动遭到了妻子贝娜黛特（安妮·吉拉尔多AnnieGirardot饰）的强烈反对，她负气从卧室搬到了花房。新一届的市长选举即将拉开序幕，让奥吉姆没有想到的是，妻子竟然成为了自己的竞争对手。,1308530,https://movie.douban.com/subject/1308530/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2514077204.jpg
3944,医生在么？,Docteur?,特里斯坦·塞盖拉,Jim Birmant,米歇尔·布朗,7.4,喜剧,,,法国,法语,2019,90.0,故事发生在平安夜当天，在浓厚的圣诞气氛下，所有人都暂时放下手中的工作，享受和家人们团聚的喜悦。乔治（米歇尔·布朗MichelBlanc饰）似乎是这座城市里唯一一个还在工作的急症医生了，他接到了紧急的求救电话，风尘仆仆的赶往患者家中。  哪知道在半路上，一个冒冒失失的送餐员马利克（HakimJemili饰）骑脚踏车撞到了他，虽然没受什么伤，却引发了乔治的老毛病——坐骨神经痛。无奈之下，马利克只得接替了乔治的职务，成为了临时医生赶往病人家，而乔治则在原地通过电话来告诉他如何治病。这次远程操控之下的治疗能否顺利进行呢？,34866375,https://movie.douban.com/subject/34866375/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572134412.jpg
4086,豪门夜宴,,张坚庭,徐小明,曾志伟,7.0,喜剧,,,中国香港,粤语,1991,97.0,开发商曾小智（曾志伟饰）为人油嘴滑舌，为了买入楼盘谎话说尽，他的竞争对手洪大宝（洪金宝饰）不遑多让，二人在经纪人学友（张学友饰）的牵线下亦敌亦友。曾小智获悉科威特王子阿里巴巴（林子祥饰）即将抵港，而王子手中握有一份重建海湾战争后家园的巨额开发计划，为了得到合同，曾小智决定请出自己多年没有探望过的老爸曾老伯（吴耀汉饰）配合，打造自己的孝子形象迎合王子。小智和娇生惯养的妻子咪咪（郑裕玲饰）将曾伯从小妹阿芝（关之琳饰）和丈夫阿辉（梁家辉饰）家中接出，并拟定多种训练对父亲进行“上层人”的改造。曾老伯苦不堪言，而宴会因洪大宝的介入一再出现状况，一心求财的曾小智能够如愿么？  本片为帮助1991年大陆水灾筹备善款而拍摄，其中客串的明星多达上百位。,1306392,https://movie.douban.com/subject/1306392/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2534461167.jpg
4730,沐浴之王,,易小星,张少初,彭昱畅,5.9,喜剧,,,中国大陆,汉语普通话,2020,103.0,张扬跋扈的富二代肖翔（彭昱畅饰）因为一次意外而失去记忆，刚好他遭遇了此前发生过龃龉的平凡搓澡工周东海（乔杉饰）。正在走投无路的东海心生一计，遂骗肖翔是自己的亲弟弟周吉祥，留他在这个有着悠久年代感的大众浴池打工。吉祥懵懵懂懂，虽然倍感蹊跷，却又无从反驳。在进行搓澡工的修炼过程中，他渐渐喜欢上了这门看起来低下卑微的行当，同时原本狂傲的性格也渐渐收到“兄妹”和“奶奶”的影响，变得亲和幽默起来。  一切似乎美好，直到有一天，失落良久的记忆恢复，吉祥才发现，自己一直还是那个不可一世的肖翔……,34894753,https://movie.douban.com/subject/34894753/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2627788612.jpg
